Word,LgSUBTLWF,OLD,PLD,NSyll
dinosaur,2.31,3.75,3.15,3
direct,3.089,2,2,2
direction,3.09,2.3,2.4,3
directions,2.695,2.7,2.55,3
dirt,3.118,1.8,1.55,1
dirty,3.53,1.9,1.8,2
disagree,2.53,2.8,3,3
disappear,3.029,3.4,2.8,3
disc,2.121,1.8,1.65,1
disease,3.126,2.4,1.8,2
disgusting,3.133,3.15,3.35,3
dish,2.767,1.7,1.25,1
dishes,2.783,1.8,1.8,2
ditch,2.604,1.65,1.5,1
dive,2.816,1.1,1.2,1
divide,2.476,1.95,1.5,2
do,5.495,1.25,1,1
doctor,4.129,2.1,1.9,2
doe,2.346,1,1,1
dog,3.993,1.2,1.45,1
doll,3.102,1.35,1.25,1
dollar,3.15,2,1.65,2
dollars,3.602,2.4,1.85,2
dolphin,2.152,3.15,2.65,2
don't,#,#,#,1
done,4.393,1,1,1
donkey,2.438,2.3,1.95,2
door,4.173,1.55,1,1
dots,2.196,1.7,1.5,1
doughnut,2.334,3.45,2.9,2
down,4.881,1.55,1.3,1
drain,2.644,1.7,1.25,1
draw,3.314,1.55,1.65,1
dream,3.832,1.65,1.6,1
dress,3.648,1.75,1.65,1
drink,4.101,1.75,1.7,1
drip,2.418,1.7,1.45,1
drive,3.893,1.65,1.6,1
driver,3.383,1.6,1.8,2
driving,3.578,1.9,1.75,2
drop,3.824,1.75,1.65,1
drug,3.363,1.7,1.55,1
drugs,3.392,1.8,1.7,1
drunk,3.592,1.75,1.7,1
dry,3.34,1.7,1.25,1
duck,3.102,1.35,1,1
dull,2.79,1.15,1,1
dumb,3.38,1.85,1,1
dusk,1.792,1.5,1.45,1
dust,3.085,1.4,1.4,1
duty,3.415,1.9,1.45,2
ear,3.213,1,1,1
early,3.741,1.75,1.55,2
earth,3.705,1.85,1.4,1
earthquake,2.513,4.5,3.8,2
east,3.403,1.25,1.6,1
easy,4.132,1.9,1.85,2
eat,4.109,1,1,1
egg,3.123,1.9,1.4,1
eggs,3.295,1.95,1.5,1
Egypt,2.433,2.8,2.75,2
eight,3.7,1.45,1,1
elect,1.863,1.85,1.85,2
electric,2.942,2.75,2.65,3
electricity,2.767,3.65,5.05,5
elephant,2.764,3.25,2.5,3
elevator,3.095,2.75,2.95,4
eleven,2.821,2.3,2.15,3
embarrass,2.654,3.85,2.7,3
emergency,3.444,3.25,3.2,4
emotion,2.627,2.2,1.8,3
empire,2.811,2.05,2.35,2
employer,2.439,2.45,2.6,2
empty,3.382,2.35,2.3,2
encourage,2.49,3.15,3.4,3
end,4.132,1.5,1.2,1
ending,2.91,1.6,1.45,2
enemy,3.394,2.5,2.05,3
energy,3.225,2.65,2.75,3
England,3.255,2.8,2.95,2
English,3.577,2.9,2.9,2
enlarge,1.663,2.75,2.85,2
enough,4.408,2.5,1.95,2
enter,3.181,1.85,1.4,2
environment,2.815,3.6,3.4,4
erupt,1.322,2.1,1.95,2
even,4.65,1.7,1.8,2
evidence,3.637,2.6,2.75,3
evil,3.572,1.9,1.75,2
exact,3.063,1.85,2.2,2
example,3.184,2.7,3.15,3
excited,3.394,2,2.2,3
excuse,4.274,2.15,2.85,2
exercise,2.957,2.45,3.3,3
exhale,1.935,2.55,2.8,2
exit,2.9,1.8,2.55,2
expensive,3.154,2.5,2.55,3
experiment,2.917,3.1,3.6,4
explain,3.754,2.7,2.6,2
explode,2.699,2.35,2.3,2
explosion,2.925,2.7,2.9,3
extinct,2.111,2.85,3.05,2
extrovert,0.778,3.85,4.1,3
eye,3.756,1.45,1,1
eyes,4.053,1.8,1,1
face,4.169,1.2,1,1
fad,1.602,1.15,1,1
fail,3.099,1.05,1,1
failure,3.01,2.8,2.1,2
faint,2.676,1.7,1.5,1
fair,3.684,1.45,1,1
faith,3.374,1.95,1.4,1
fake,3.268,1.1,1,1
fall,3.781,1.3,1,1
family,4.257,2.2,2.25,3
fantasy,2.919,2.95,2.65,3
far,4.051,1,1.05,1
farm,3.186,1.55,1.6,1
fashion,2.981,2.5,1.55,2
fast,3.846,1.3,1.05,1
fat,3.608,1,1,1
father,4.452,1.65,1.7,2
fear,3.547,1.25,1,1
feel,4.505,1.4,1,1
feeling,3.933,1.75,1.2,2
feet,3.789,1.5,1,1
female,3.208,2.35,2.35,2
fence,2.914,1.75,1.5,1
few,4.187,1.45,1.1,1
fiction,2.493,2,1.8,2
field,3.554,1.75,1.05,1
fight,4.011,1.5,1,1
fighter,2.815,1.95,1.2,2
film,3.522,1.75,1.55,1
find,4.627,1.15,1.15,1
finger,3.272,1.6,1.85,2
finish,3.703,1.9,1.85,2
finished,3.63,2.5,1.9,2
fire,4.041,1.1,1,1
first,4.632,1.95,1.7,1
fish,3.629,1.75,1.3,1
fishing,3.081,1.95,1.8,2
fist,2.575,1.55,1.3,1
five,4.163,1.5,1.55,1
fix,3.646,1.55,1.3,1
flag,2.951,1.45,1.5,1
flakes,1.982,1.8,1.6,1
flirt,2.303,1.9,1.95,1
float,2.582,1.75,1.3,1
floor,3.71,1.85,1.45,1
flop,2.075,1.5,1.45,1
Florida,2.973,2.65,2.8,3
flower,3.065,1.65,1.7,1
flowers,3.385,1.8,1.7,1
flute,2.037,1.75,1.4,1
fly,3.637,1.75,1.25,1
fog,2.684,1.4,1.6,1
fold,2.644,1.35,1,1
folder,1.924,1.55,1.55,2
follower,1.544,2.65,1.95,2
food,3.896,1.45,1.15,1
foot,3.52,1.4,1.45,1
football,3.282,2.85,2.7,2
for,5.546,1.3,1,1
force,3.557,1.7,1,1
foreign,3.056,2.75,1.75,2
foresight,1.591,3.25,2.55,2
forest,2.984,1.9,1.85,2
forever,3.656,2.6,2.95,3
forgive,3.593,2.6,2.6,2
fork,2.654,1.45,1.15,1
fortune,3.182,2.7,2.55,2
forward,3.567,2.5,2.3,2
found,4.305,1.55,1.3,1
four,4.115,1.4,1,1
fox,3.043,1.6,1.3,1
fragile,2.42,2.8,2.9,2
frame,2.857,1.75,1.5,1
France,3.14,1.65,1.85,1
fraternity,2.236,3.65,3.95,4
freedom,3.228,2.8,2.15,2
friend,4.33,1.85,1.7,1
fries,2.776,1.6,1.4,1
fright,2.152,1.7,1.4,1
frightened,3.075,3.15,2.4,2
frog,2.781,1.8,1.7,1
front,3.967,1.8,1.75,1
fruit,3.045,1.9,1.6,1
fudge,2.269,1.85,1.9,1
full,3.93,1.25,1.2,1
fun,4.08,1.3,1,1
fungus,2.053,2.7,2.65,2
funny,4.046,1.7,1.3,2
furniture,2.886,3.6,3.6,3
future,3.723,2.3,2.8,2
gain,2.846,1.35,1,1
gamble,2.66,1.65,1.75,2
game,4.077,1.3,1,1
gander,1.748,1.7,1.6,2
garbage,3.124,2.55,2.8,2
garden,3.132,1.85,1.75,2
gas,3.539,1.3,1,1
gather,2.903,1.8,1.75,2
general,3.77,2.2,2.6,2
geometry,1.978,3.55,4.3,4
George,3.874,2.45,2.55,1
get,5.369,1.2,1.05,1
ghost,3.271,1.9,1.3,1
gift,3.517,1.7,1.55,1
gin,2.76,1.25,1.3,1
girl,4.454,1.85,1.6,1
girlfriend,3.589,4.65,5.3,2
girls,4.026,1.95,1.85,1
give,4.775,1.5,1.65,1
glass,3.491,1.75,1.5,1
glasses,3.228,1.85,1.75,2
glory,3.04,1.95,1.8,2
gloves,2.919,1.7,1.85,1
glue,2.479,1.65,1.2,1
go,5.287,1.35,1,1
goal,2.932,1.7,1,1
god,4.663,1.3,1.05,1
gold,3.605,1.35,1,1
gone,4.18,1.35,1,1
goo,2.041,1.25,1,1
good,5.124,1.4,1.5,1
goose,2.824,1.85,1.3,1
government,3.522,3.55,3.2,3
grab,3.558,1.55,1.5,1
graduation,2.7,2.75,4.35,4
grand,3.507,1.65,1.4,1
grandma,3.367,2.65,3,2
grape,2.312,1.4,1.05,1
graph,1.591,1.9,1.5,1
grasp,2.369,1.85,1.65,1
grass,2.933,1.55,1.15,1
grave,3.127,1.25,1,1
great,4.622,1.85,1,1
greed,2.391,1.55,1.15,1
green,3.568,1.75,1.3,1
grill,2.358,1.8,1.3,1
groceries,2.48,3.3,2.85,3
gross,2.892,1.75,1.35,1
ground,3.568,1.8,1.5,1
group,3.575,1.9,1.35,1
grow,3.482,1.55,1.05,1
growth,2.518,2.35,1.55,1
guard,3.473,1.95,1.25,1
guess,4.365,1.9,1.35,1
guilt,2.881,1.7,1.35,1
guilty,3.502,2.4,1.9,2
guitar,2.901,2.8,2.65,2
gum,2.835,1.3,1.05,1
gun,4.036,1.25,1,1
habit,2.869,1.95,1.85,2
hair,3.894,1.55,1,1
hall,3.423,1,1,1
Halloween,2.824,3.7,3.8,3
hallway,2.688,2.65,2.65,2
hamburger,2.6,3.75,4.7,3
hammer,2.804,1.9,1.55,2
hand,4.154,1.35,1.1,1
hands,4.082,1.7,1.7,1
happy,4.23,1.8,1.75,2
hard,4.196,1.15,1.1,1
harvest,2.292,2.25,2.15,2
hat,3.515,1,1,1
hate,4.039,1,1,1
have,5.497,1.2,1.1,1
hay,2.513,1,1,1
head,4.278,1.15,1,1
headache,2.857,3.45,2.9,2
health,3.313,1.85,1.7,1
healthy,3.101,2.35,1.9,2
hear,4.452,1,1,1
heart,4.095,1.65,1.15,1
heat,3.311,1.2,1,1
heaven,3.461,1.7,1.75,2
heavy,3.383,1.9,1.75,2
hell,4.38,1.1,1,1
hello,4.475,1.85,1.85,2
help,4.672,1.55,1.5,1
helper,2.017,1.9,1.95,2
her,5.16,1.3,1.25,1
here,5.363,1.4,1,1
hidden,3.036,2.25,1.9,2
high,3.998,1.75,1,1
higher,3.153,1.95,1.65,1
highway,2.96,2.85,2.5,2
hill,3.282,1.05,1,1
hint,2.672,1.55,1.55,1
hip,2.896,1.05,1,1
hit,4.147,1,1,1
hitchhike,1.69,4.35,4.05,2
hog,2.418,1.35,1.45,1
hold,4.348,1.3,1,1
hole,3.473,1.15,1,1
holy,3.541,1.85,1.3,2
home,4.596,1.35,1,1
homeless,2.736,2.6,1.95,2
homework,3.012,2.9,3.15,2
honest,3.567,1.95,2,2
honesty,2.567,2.65,2.55,3
honor,3.691,1.9,1.65,2
hoop,2.14,1.5,1.15,1
horn,3.032,1.5,1,1
horse,3.676,1.55,1.2,1
hose,2.615,1.1,1,1
hospital,3.802,3.15,3.15,3
hostess,2.279,2.55,1.95,2
hot,3.986,1.05,1,1
hotel,3.721,1.85,2.45,2
hound,2.412,1.6,1.3,1
hours,4.04,1.65,1.4,1
house,4.418,1.6,1.65,1
hug,2.994,1,1.05,1
hula,2.004,1.9,2,2
human,3.804,1.9,1.8,2
hundred,3.604,2.3,2.55,2
hunger,2.479,1.85,1.85,2
hungry,3.595,2.6,2.7,2
hunter,2.972,1.75,1.65,2
hurricane,2.651,3.85,3.95,3
hurry,3.947,1.8,1.8,2
hurt,4.099,1.65,1.2,1
husband,3.997,2.7,2.85,2
hypnotize,1.505,3.7,3.65,3
ice,3.608,1.45,1,1
Id,2.23,1.3,1,1
idea,4.263,1.9,1.9,2
idiot,3.529,2.3,2.05,2
ignore,2.979,2.25,2.5,2
ill,3.036,1.3,1,1
illegal,3.079,3.35,2.65,3
immature,2.225,2.85,3.75,3
important,4.025,3.05,3.4,3
in,5.698,1,1,1
increase,2.64,2.65,2.4,2
independent,2.679,3.4,3.55,4
