"Participant","VersionNum","VersionHand","Age","Gender","NAART","EHI","EHI_LRA","mean_c","mu_c","sig_c","tau_c","mean_a","mu_a","sig_a","tau_a","zr","a","v_abs","v_con","t0","st0"
111,1,"R","19","F",15,0.5,"R",0.964927184466019,0.794939307372137,0.124393503049897,0.169997509108208,1.03104705882353,0.880185529285041,0.153582305462186,0.150840140145862,0.675,1.1489,-2.4229,0.6222,0.7823,0.4639
112,2,"R","18","F",9,0.6923,"R",0.906041666666667,0.587795014861344,0.0554875630900886,0.318265117120312,0.994483028720627,0.679714190703339,0.0880073132821257,0.314829778696046,0.5799,1.4465,-1.1337,0.8008,0.5393,0.2151
113,3,"R","21","F",13,0.7,"R",1.11420134228188,0.715053248614291,0.0641234638043896,0.399091195114245,1.19229857819905,0.779084364628484,0.0713446295068148,0.413247690195208,0.5714,1.669,-1.3542,1.3822,0.644,0.2084
114,4,"R","20","F",12,1,"R",1.03492631578947,0.662725944071088,0.0694132077214698,0.372170949613331,1.09188045977011,0.690328477067683,0.0671027556418793,0.40149733920375,0.5961,1.551,-1.6579,0.551,0.6044,0.2637
115,5,"R","19","M",26,0.6923,"R",0.77969212962963,0.57514761347454,0.0500412436333002,0.204519139982757,0.849187951807229,0.578404407583842,0.0604770667895191,0.270740022215255,0.5208,1.3911,-1.3385,1.8159,0.4716,0.1027
116,6,"L","18","F",13,-0.6,"L",0.748631944444444,0.581363219016093,0.0492472040138209,0.167248838998151,0.768697969543147,0.602778315953795,0.0538556908080104,0.16591052032473,0.4737,1.0957,-1.2698,1.9245,0.535,0.1875
117,7,"R","20","F",11,0.4737,"R",0.867922196796339,0.65048784466295,0.0604691391153,0.217422754716868,0.867937649880096,0.638737218352013,0.071927511055021,0.229205679088595,0.4783,1.3762,-1.1831,1.6384,0.5475,0.1048
118,8,"R","27","F",19,1,"R",1.01212171837709,0.570590338902693,0.0514407349022486,0.441616819694732,1.07729439252336,0.612281201738948,0.0501470265203108,0.465046011579857,0.5833,1.7276,-1.2413,0.9027,0.4616,0.0826
119,9,"R","20","F",15,1,"R",0.986968680089485,0.668425763617357,0.0762823936497568,0.318593418631348,1.13282019704434,0.828153230382222,0.146675026799477,0.304656204536622,0.6296,1.6066,-1.2671,1.1801,0.6121,0.2878
120,10,"R","18","F",6,0.4615,"R",1.05325862068966,0.738265694183711,0.0868091921608509,0.314953101522459,1.137425,0.770960759556599,0.0577445016055025,0.366579948760666,0.5833,1.4159,-1.2301,0.919,0.6804,0.2495
121,1,"R","20","F",6,0.8,"R",0.961531468531469,0.594024557950361,0.0867080911998638,0.367490660742501,1.15392481203008,0.695658511734307,0.0691279520478582,0.458326546370438,0.6428,1.6105,-1.301,0.8278,0.5499,0.2717
122,2,"R","20","F",26,0.6923,"R",0.956873614190687,0.726262572850748,0.0656165298288871,0.230622974048059,1.1132180974478,0.868661425393128,0.103775076895942,0.24451967512842,0.6851,1.5555,-1.9521,1.3292,0.6707,0.2195
123,3,"R","19","F",28,0.8667,"R",1.08542793791574,0.701188866005015,0.0536573701587611,0.384177413808079,1.31148801742919,0.920672315145113,0.166806524913228,0.3908396255124,0.7142,2.0287,-1.9829,1.0976,0.6366,0.2724
124,4,"R","21","F",22,1,"R",0.866921052631579,0.605269836090533,0.0419210937519921,0.261679811379796,0.979911214953271,0.674479434058413,0.0703864424311704,0.305408715479002,0.6153,1.5501,-1.6447,1.3471,0.5301,0.1215
